Omics,Gene,Cell,Weight
1,55,68,1.0
1,56,68,0.0
1,57,68,0.0
1,58,68,1.0
1,59,68,0.0
1,60,68,0.0
1,61,68,0.0
1,62,68,0.0
0,2,69,0.0
0,3,69,0.0
0,4,69,0.0
0,5,69,0.0
0,6,69,0.0
0,7,69,0.0
0,8,69,0.0
0,9,69,0.0
0,10,69,0.0
0,11,69,11.72006426
0,12,69,0.0
0,13,69,0.0
0,14,69,14.33076418
0,15,69,0.0
0,16,69,0.0
0,17,69,16.97160371
0,18,69,0.0
0,19,69,0.0
0,20,69,0.0
0,21,69,0.0
0,22,69,0.0
0,23,69,0.0
0,24,69,0.0
0,25,69,0.0
0,26,69,0.0
0,27,69,4.38318031
0,28,69,20.01358586
0,29,69,19.67567839
0,30,69,0.0
0,31,69,0.0
0,32,69,0.0
0,33,69,0.0
0,34,69,0.0
0,35,69,0.0
1,36,69,1.0
1,37,69,1.0
1,38,69,0.0
1,39,69,0.0
1,40,69,0.0
1,41,69,0.0
1,42,69,1.0
1,43,69,1.0
1,44,69,0.0
1,45,69,1.0
1,46,69,1.0
1,47,69,1.0
1,48,69,0.0
1,49,69,0.0
1,50,69,1.0
1,51,69,1.0
1,52,69,1.0
1,53,69,0.0
1,54,69,0.0
1,55,69,1.0
1,56,69,1.0
1,57,69,0.0
1,58,69,1.0
1,59,69,0.0
1,60,69,0.0
1,61,69,0.0
1,62,69,0.0
0,2,70,0.0
0,3,70,0.0
0,4,70,0.0
0,5,70,0.0
0,6,70,0.0
0,7,70,0.0
0,8,70,0.0
0,9,70,0.0
0,10,70,0.0
0,11,70,16.72854941
0,12,70,0.0
0,13,70,0.0
0,14,70,11.33977066
0,15,70,0.0
0,16,70,0.0
0,17,70,15.67602097
0,18,70,0.0
0,19,70,17.67220225
0,20,70,0.0
0,21,70,0.0
0,22,70,0.0
0,23,70,0.0
0,24,70,0.0
0,25,70,0.0
0,26,70,4.1134557
0,27,70,0.0
0,28,70,18.86273159
0,29,70,18.2638998
0,30,70,0.0
0,31,70,0.0
0,32,70,0.0
0,33,70,0.0
0,34,70,0.0
0,35,70,0.0
1,36,70,1.0
1,37,70,0.0
1,38,70,0.0
1,39,70,0.0
1,40,70,0.0
1,41,70,0.0
1,42,70,1.0
1,43,70,0.0
1,44,70,0.0
1,45,70,1.0
1,46,70,1.0
1,47,70,0.0
1,48,70,0.0
1,49,70,0.0
1,50,70,1.0
1,51,70,1.0
1,52,70,1.0
1,53,70,0.0
1,54,70,0.0
1,55,70,1.0
1,56,70,1.0
1,57,70,1.0
1,58,70,1.0
1,59,70,0.0
1,60,70,0.0
1,61,70,0.0
1,62,70,0.0
0,2,71,0.0
0,3,71,6.48979427
0,4,71,0.0
0,5,71,0.0
0,6,71,0.0
0,7,71,0.0
0,8,71,0.0
0,9,71,0.0
0,10,71,0.0
0,11,71,0.0
0,12,71,0.0
0,13,71,0.0
0,14,71,0.0
0,15,71,0.0
0,16,71,0.0
0,17,71,19.52667739
0,18,71,0.0
0,19,71,14.30164218
0,20,71,0.0
0,21,71,4.81941045
0,22,71,0.0
0,23,71,0.0
0,24,71,0.0
0,25,71,0.0
0,26,71,0.0
0,27,71,9.39722492
0,28,71,20.01723711
0,29,71,20.24900839
0,30,71,0.0
0,31,71,0.0
0,32,71,0.0
0,33,71,0.0
0,34,71,0.0
0,35,71,0.0
1,36,71,1.0
1,37,71,0.0
1,38,71,0.0
1,39,71,0.0
1,40,71,0.0
1,41,71,1.0
1,42,71,1.0
1,43,71,0.0
1,44,71,1.0
1,45,71,1.0
1,46,71,1.0
1,47,71,1.0
1,48,71,0.0
1,49,71,0.0
1,50,71,1.0
1,51,71,1.0
1,52,71,1.0
1,53,71,0.0
1,54,71,0.0
1,55,71,1.0
1,56,71,1.0
1,57,71,0.0
1,58,71,1.0
1,59,71,0.0
1,60,71,0.0
1,61,71,0.0
